ウテロン錠５ｍｇ,2590004F1010
ガスター散２％,2325003B2029
カルデミン錠０．２５μｇ,3112004F1024
ソロン錠５０　５０ｍｇ,2329011F1028
チルミメールカプセル５０ｍｇ,2129003M1030
チルミメールカプセル１００ｍｇ,2129003M2044
テンマ末,5100133A1011
トルシトリンカプセル０．２５　０．２５μｇ,3112004M1104
トルシトリンカプセル０．５　０．５μｇ,3112004M2100
花扇加工ブシ末Ｋ,5900001A1025
バリトゲンＨＤ　９８．６％,7212029X1023
バリトップＨＤ　９９％,7212022A1037
ヒポテリオールカプセル０．２５　０．２５μｇ,3112004M1112
ヒポテリオールカプセル０．５　０．５μｇ,3112004M2119
ヘルラートＬ錠１０　１０ｍｇ,2171014G1151
ポルボノールドライシロップ０．５％,2252006R2022
マナミンＴＭ散,2339179B1037
ＭＳコンチン錠６０ｍｇ,8114004G3020
アカルディカプセル１．２５　１．２５ｍｇ,2119006M1029
アカルディカプセル２．５　２．５ｍｇ,2119006M2025
オステラック錠１００　１００ｍｇ,1149032F1035
オステラック錠２００　２００ｍｇ,1149032F2031
ジソペイン錠７５　７５ｍｇ,1149033F1021
セロシオンカプセル１０　１０ｍｇ,3919007M1021
ゾビラックス顆粒４０％,6250002D1024
ハイペン錠１００ｍｇ,1149032F1027
ハイペン錠２００ｍｇ,1149032F2023
プロマック顆粒１５％,2329027D1028
ベイスン錠０．２　０．２ｍｇ,3969004F1020
ベイスン錠０．３　０．３ｍｇ,3969004F2027
ペルマックス錠５０μｇ,1169008F1026
ペルマックス錠２５０μｇ,1169008F2022
メタライト２５０カプセル　２５０ｍｇ,3929005M1029
テルロン錠０．５　０．５ｍｇ,1190010F1027
ピメノールカプセル５０ｍｇ,2129012M1020
ピメノールカプセル１００ｍｇ,2129012M2027
アレギサール錠５ｍｇ,4490011F2028
インフリーＳカプセル２００ｍｇ,1145005M2026
バリトップＣＴ　１．５％３００ｍＬ,7212030S1029
ペミラストン錠５ｍｇ,4490011F2036
ユニコン錠２００　２００ｍｇ,2251001G1025
ユニコン錠４００　４００ｍｇ,2251001G2021
アイピーディカプセル５０　５０ｍｇ,4490016M1023
アイピーディカプセル１００　１００ｍｇ,4490016M2020
スプレンジール錠２．５ｍｇ,2149035F1025
スプレンジール錠５ｍｇ,2149035F2021
デタントールＲ錠３ｍｇ,2149015G1023
デタントールＲ錠６ｍｇ,2149015G2020
カルバン錠２５　２５ｍｇ,2149036F1020
カルバン錠５０　５０ｍｇ,2149036F2026
カルバン錠１００　１００ｍｇ,2149036F3022
フェアストン錠４０　４０ｍｇ,4291007F1021
フェアストン錠６０　６０ｍｇ,4291007F2028
エンシュア・Ｈ,3259114S1026
テオドールドライシロップ２０％,2251001R1026
ベザトールＳＲ錠１００ｍｇ,2183005G2028
フェロステック錠５０ｍｇ　鉄５０ｍｇ,3222013F1106
本草加工ブシ末,5900001A1033
メチルテストステロン錠　１０ｍｇ,2462001F2012
ロシゾピロン細粒１０％,1179024C1068
ロシゾピロン錠２５ｍｇ,1179024F1056
ロシゾピロン錠５０ｍｇ,1179024F2060
テイコク紅参末,5100064A1280
カイトリル錠１ｍｇ,2391002F1025
ガナトン錠５０ｍｇ,2399008F1020
グラケーカプセル１５ｍｇ,3160002M2028
コナン錠５ｍｇ,2144010F1029
コナン錠１０ｍｇ,2144010F2025
コナン錠２０ｍｇ,2144010F3021
アテレック錠５　５ｍｇ,2149037F1032
アテレック錠１０　１０ｍｇ,2149037F2039
ブロニカ顆粒１０％,4490018D1022
ブロニカ錠４０　４０ｍｇ,4490018F1023
ブロニカ錠８０　８０ｍｇ,4490018F2020
バレオン錠２００ｍｇ,6241009F1028
カモタット錠１００　１００ｍｇ,3999003F1017
カリセラム－Ｎａ末,2190009A1030
コバレノール錠２５　２５ｍｇ,2479003F2094
セレガスロン錠２　２ｍｇ,2329020F1035
セレガスロン錠４　４ｍｇ,2329020F2031
チスタメット細粒２０％,2325001C1088
トチモトのトチュウ,5100190X1020
トチモトのバクガ（麦芽）,5100191X1017
ハドドリン錠「５」　５ｍｇ,2399005F1043
ハドドリン錠「１０」　１０ｍｇ,2399005F2120
ギボンズ錠１ｍｇ,1249010F1050
ペリアス錠２５ｍｇ,2479003F2078
ボンゾール錠１００ｍｇ,2499007F1021
ボンゾール錠２００ｍｇ,2499007F2028
ポラチール３ｍｇ錠,2590005F2010
マーヨン錠「２５μｇ」　０．０２５ｍｇ,2259004F1080
ムコダイン錠５００ｍｇ,2233002F2022
メイエストン錠２５　２５ｍｇ,2479003F2108
ラインタット錠１００ｍｇ,3999003F1017
リーナック錠１００　１００ｍｇ,3999003F1017
リビリスター錠１００　１００ｍｇ,3999003F1017
ｌ－メントール「コザカイ・Ｍ」,7149004X1060
ウチダのアセンヤク末Ｍ,5100002A1018
ウチダのアマチャＭ,5100003X1015
ウチダのアマチャ末Ｍ,5100003A1012
ウチダのアロエ末Ｍ,5100004A1017
ウチダのウイキョウＭ,5100008X1018
ウチダのウワウルシＭ,5100013X1019
ウチダのエイジツＭ,5100014X1013
ウチダのエイジツ末Ｍ,5100014A1010
ウチダのエンゴサクＭ,5100015X1018
ウチダのオウレンＭ,5100022X1018
ウチダのオウレン末Ｍ,5100022A1015
ウチダのオウギＭ,5100017X1025
ウチダのオウゴンＭ,5100019X1016
ウチダのオウゴン末Ｍ,5100019A1013
ウチダのオウバクＭ,5100020X1019
ウチダのオウバク末Ｍ,5100020A1016
ウチダのオンジＭ,5100023X1012
ウチダのオンジ末Ｍ,5100023A1010
ウチダのカッコンＭ,5100032X1011
ウチダのカノコソウＭ,5100034X1010
ウチダのカノコソウ末Ｍ,5100034A1018
ウチダのカロコンＭ,5100036X1010
ウチダのカンゾウＭ,5100039X1013
ウチダのカンゾウ末Ｍ,5100039A1010
ウチダのカゴソウＭ,5100026X1016
ウチダのキョウニンＭ,5100049X1017
ウチダのキキョウＭ,5100042X1015
ウチダのキキョウ末Ｍ,5100042A1012
ウチダのキササゲＭ,5100044X1014
ウチダのキジツＭ,5100045X1027
ウチダのクジンＭ,5100054X1018
ウチダのクジン末Ｍ,5100054A1015
ウチダのケイヒＭ,5100056X1017
ウチダのケイヒ末Ｍ,5100056A1014
ウチダのケイガイＭ,5100055X1012
ウチダのケツメイシＭ,5100057X1011
ウチダのケンゴシＭ,5100058X1016
ウチダのコウカＭ,5100062X1012
ウチダのコウジンＭ,5100063X1025
ウチダのコウブシＭ,5100065X1016
ウチダのコウブシ末Ｍ,5100065A1013
ウチダのコウベイＭ,5100066X1010
ウチダのコウボクＭ,5100067X1015
ウチダのコウボク末Ｍ,5100067A1020
ウチダのコロンボＭ,5100073X1010
ウチダのコロンボ末Ｍ,5100073A1018
ウチダのサイコＭ,5100075X1010
ウチダのサイシンＭ,5100076X1014
ウチダのサフランＭ,5100078X1021
ウチダのサンキライＭ,5100079X1018
ウチダのサンキライ末Ｍ,5100079A1015
ウチダのサンシュユＭ,5100082X1010
ウチダのサンショウＭ,5100083X1014
ウチダのサンショウ末Ｍ,5100083A1011
ウチダのサンシシＭ,5100081X1015
ウチダのサンシシ末Ｍ,5100081A1012
ウチダのサンヤクＭ,5100086X1026
ウチダのシャクヤクＭ,5100094X1012
ウチダのシャクヤク末Ｍ,5100094A1010
ウチダのシャゼンシＭ,5100097X1016
ウチダのシャゼンソウＭ,5100098X1010
ウチダのシュクシャＭ,5100101X1022
ウチダのシュクシャ末Ｍ,5100101A1011
ウチダのショウキョウＭ,5100102X1019
ウチダのショウキョウ末Ｍ,5100102A1016
ウチダのショウマＭ,5100106X1017
ウチダのショウズクＭ,5100103X1013
ウチダのシコンＭ,5100090X1014
ウチダのセッコウＭ,5100109X1010
ウチダのセネガＭ,5100110X1013
ウチダのセネガ末Ｍ,5100110A1010
ウチダのセンキュウＭ,5100111X1018
ウチダのセンキュウ末Ｍ,5100111A1015
ウチダのセンコツＭ,5100113X1017
ウチダのセンナＭ,5100115X1016
ウチダのセンナ末Ｍ,5100115A1013
ウチダのセンブリＭ,5100116X1010
